"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Footwear","Dollars","81","millions","6","v62700467","1.1.1.14","1945","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Footwear","Dollars","81","millions","6","v62700467","1.1.1.14","1970","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Footwear","Dollars","81","millions","6","v62700467","1.1.1.14","1988","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Footwear","Dollars","81","millions","6","v62700467","1.1.1.14","2003","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Housing, water, electricity, gas and other fuels","Dollars","81","millions","6","v62700468","1.1.1.16","72629","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Housing, water, electricity, gas and other fuels","Dollars","81","millions","6","v62700468","1.1.1.16","73479","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Housing, water, electricity, gas and other fuels","Dollars","81","millions","6","v62700468","1.1.1.16","74298","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Housing, water, electricity, gas and other fuels","Dollars","81","millions","6","v62700468","1.1.1.16","75246","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Housing, water, electricity, gas and other fuels","Dollars","81","millions","6","v62700468","1.1.1.16","76287","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Paid rental fees for housing","Dollars","81","millions","6","v62700469","1.1.1.17","15693","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Paid rental fees for housing","Dollars","81","millions","6","v62700469","1.1.1.17","15849","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Paid rental fees for housing","Dollars","81","millions","6","v62700469","1.1.1.17","16048","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Paid rental fees for housing","Dollars","81","millions","6","v62700469","1.1.1.17","16271","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Paid rental fees for housing","Dollars","81","millions","6","v62700469","1.1.1.17","16513","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Imputed rental fees for housing","Dollars","81","millions","6","v62700470","1.1.1.18","46845","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Imputed rental fees for housing","Dollars","81","millions","6","v62700470","1.1.1.18","47359","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Imputed rental fees for housing","Dollars","81","millions","6","v62700470","1.1.1.18","47875","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Imputed rental fees for housing","Dollars","81","millions","6","v62700470","1.1.1.18","48429","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Imputed rental fees for housing","Dollars","81","millions","6","v62700470","1.1.1.18","48996","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Materials for the maintenance and repair of the dwelling","Dollars","81","millions","6","v62700471","1.1.1.19","825","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Materials for the maintenance and repair of the dwelling","Dollars","81","millions","6","v62700471","1.1.1.19","807","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Materials for the maintenance and repair of the dwelling","Dollars","81","millions","6","v62700471","1.1.1.19","810","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Materials for the maintenance and repair of the dwelling","Dollars","81","millions","6","v62700471","1.1.1.19","807","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Materials for the maintenance and repair of the dwelling","Dollars","81","millions","6","v62700471","1.1.1.19","811","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Services for the maintenance and repair of the dwelling","Dollars","81","millions","6","v62700472","1.1.1.20","125","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Services for the maintenance and repair of the dwelling","Dollars","81","millions","6","v62700472","1.1.1.20","126","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Services for the maintenance and repair of the dwelling","Dollars","81","millions","6","v62700472","1.1.1.20","127","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Services for the maintenance and repair of the dwelling","Dollars","81","millions","6","v62700472","1.1.1.20","128","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Services for the maintenance and repair of the dwelling","Dollars","81","millions","6","v62700472","1.1.1.20","129","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Water supply and sanitation services","Dollars","81","millions","6","v62700473","1.1.1.21","2103","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Water supply and sanitation services","Dollars","81","millions","6","v62700473","1.1.1.21","2131","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Water supply and sanitation services","Dollars","81","millions","6","v62700473","1.1.1.21","2161","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Water supply and sanitation services","Dollars","81","millions","6","v62700473","1.1.1.21","2191","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Water supply and sanitation services","Dollars","81","millions","6","v62700473","1.1.1.21","2221","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Electricity","Dollars","81","millions","6","v62700474","1.1.1.22","4669","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Electricity","Dollars","81","millions","6","v62700474","1.1.1.22","4769","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Electricity","Dollars","81","millions","6","v62700474","1.1.1.22","4839","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Electricity","Dollars","81","millions","6","v62700474","1.1.1.22","4969","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Electricity","Dollars","81","millions","6","v62700474","1.1.1.22","5090","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Gas","Dollars","81","millions","6","v62700475","1.1.1.23","1694","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Gas","Dollars","81","millions","6","v62700475","1.1.1.23","1766","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Gas","Dollars","81","millions","6","v62700475","1.1.1.23","1718","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Gas","Dollars","81","millions","6","v62700475","1.1.1.23","1712","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Gas","Dollars","81","millions","6","v62700475","1.1.1.23","1772","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Other fuels","Dollars","81","millions","6","v62700476","1.1.1.24","675","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Other fuels","Dollars","81","millions","6","v62700476","1.1.1.24","672","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Other fuels","Dollars","81","millions","6","v62700476","1.1.1.24","720","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Other fuels","Dollars","81","millions","6","v62700476","1.1.1.24","739","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Other fuels","Dollars","81","millions","6","v62700476","1.1.1.24","755","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","millions","6","v62700477","1.1.1.26","16386","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","millions","6","v62700477","1.1.1.26","16511","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","millions","6","v62700477","1.1.1.26","16687","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","millions","6","v62700477","1.1.1.26","16753","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","millions","6","v62700477","1.1.1.26","16726","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Furniture and furnishings","Dollars","81","millions","6","v62700478","1.1.1.27","4676","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Furniture and furnishings","Dollars","81","millions","6","v62700478","1.1.1.27","4648","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Furniture and furnishings","Dollars","81","millions","6","v62700478","1.1.1.27","4658","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Furniture and furnishings","Dollars","81","millions","6","v62700478","1.1.1.27","4692","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Furniture and furnishings","Dollars","81","millions","6","v62700478","1.1.1.27","4656","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Carpets and other floor coverings","Dollars","81","millions","6","v62700479","1.1.1.28","199","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Carpets and other floor coverings","Dollars","81","millions","6","v62700479","1.1.1.28","204","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Carpets and other floor coverings","Dollars","81","millions","6","v62700479","1.1.1.28","202","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Carpets and other floor coverings","Dollars","81","millions","6","v62700479","1.1.1.28","200","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Carpets and other floor coverings","Dollars","81","millions","6","v62700479","1.1.1.28","198","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household textiles","Dollars","81","millions","6","v62700480","1.1.1.29","910","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household textiles","Dollars","81","millions","6","v62700480","1.1.1.29","893","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household textiles","Dollars","81","millions","6","v62700480","1.1.1.29","907","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household textiles","Dollars","81","millions","6","v62700480","1.1.1.29","918","","","","0"
